symbol,turnover24h,exchange,category,logo,devAct,devActUrl,minQty,minNotional,tickSize
WOOUSDT,5021150.27319000,biby,V,woo.svg,undefined,https://www.tradingview.com/x/o44Jvyom/,0.1,5,0.0001
BLZUSDT,4967083.93510000,by,V,blz.svg,low,https://www.tradingview.com/x/f3a12DBV/,1,5,0.00001
API3USDT,4825207.06836000,biby,V,api3.png,high,https://www.tradingview.com/x/l7gqv2A7/,0.1,5,0.001
BNXUSDT,4815885.69043000,biby,V,bnx.png,undefined,undefined,0.1,5,0.0001
COMPUSDT,4785663.48711000,biby,V,comp.svg,medium,https://www.tradingview.com/x/fDFvmDyO/,0.01,5,0.01
GLMUSDT,4777995.27572000,biby,V,glm.png,high,https://www.tradingview.com/x/j0Wsuahh/,1,5,0.00001
LINAUSDT,4694774.28570217,biby,V,lina.png,undefined,https://www.tradingview.com/x/sUz3JXKI/,10,5,0.000001
GALUSDT,4666569.89920400,bi,V,gal.png,undefined,https://www.tradingview.com/x/V5tBELMg/,1,0,0.00010
ONEUSDT,4593302.95340600,biby,V,one.svg,undefined,https://www.tradingview.com/x/jIidKn4Z/,1,5,0.00001
MTLUSDT,4590459.63320000,biby,V,mtl.svg,undefined,https://www.tradingview.com/x/BKobnvaX/,0.1,5,0.0001
AUCTIONUSDT,4556842.60480000,biby,V,auction.png,low,https://www.tradingview.com/x/zKygbcgd/,0.1,5,0.001
RIFUSDT,4497234.35950000,biby,V,rif.svg,undefined,https://www.tradingview.com/x/Nu7oaPZ2/,1,5,0.0001
HOTUSDT,4328072.08655200,biby,V,hot.svg,medium,https://www.tradingview.com/x/rdGyNEP9/,100,5,0.000001
KSMUSDT,4245474.27178000,biby,V,ksm.svg,high,https://www.tradingview.com/x/TlqvCAW7/,0.01,5,0.01
SUPERUSDT,3844252.65410000,biby,V,super.svg,undefined,https://www.tradingview.com/x/1kBYHwoH/,1,5,0.0001
STORJUSDT,3629771.08050000,biby,V,storj.svg,high,https://www.tradingview.com/x/K7ULrKb1/,0.1,5,0.0001
SKLUSDT,3604058.30433000,biby,V,skl.svg,high,https://www.tradingview.com/x/5LmnEM6L/,1,5,0.00001
LSKUSDT,3420803.51370000,biby,V,lsk.svg,high,https://www.tradingview.com/x/JqkAgF3x/,0.1,5,0.001
RENUSDT,3360771.40067800,biby,V,ren.svg,low,https://www.tradingview.com/x/uv4rLOP0/,0.1,5,0.00001
OMGUSDT,2630381.49170000,biby,V,omg.svg,low,https://www.tradingview.com/x/d3UVZ0ro/,0.1,5,0.0001
ALICEUSDT,2457651.70251000,biby,V,alice.png,undefined,https://www.tradingview.com/x/pgcafUSs/,0.1,5,0.001
